geo_type,region,transportation_type,alternative_name,sub-region,country,date,mobility percentage
city,Anchorage,driving,NA,Alaska,United States,2020-01-13,100
city,Anchorage,driving,NA,Alaska,United States,2020-01-14,105.32
city,Anchorage,driving,NA,Alaska,United States,2020-01-15,105.99
city,Anchorage,driving,NA,Alaska,United States,2020-01-16,111.03
city,Anchorage,driving,NA,Alaska,United States,2020-01-17,126.49
city,Anchorage,driving,NA,Alaska,United States,2020-01-18,116.76
city,Anchorage,driving,NA,Alaska,United States,2020-01-19,86.25
city,Anchorage,driving,NA,Alaska,United States,2020-01-20,95.69
city,Anchorage,driving,NA,Alaska,United States,2020-01-21,105.11
city,Anchorage,driving,NA,Alaska,United States,2020-01-22,104.94
city,Anchorage,driving,NA,Alaska,United States,2020-01-23,106.87
city,Anchorage,driving,NA,Alaska,United States,2020-01-24,123.88
city,Anchorage,driving,NA,Alaska,United States,2020-01-25,114.35
city,Anchorage,driving,NA,Alaska,United States,2020-01-26,81.75
city,Anchorage,driving,NA,Alaska,United States,2020-01-27,98.13
city,Anchorage,driving,NA,Alaska,United States,2020-01-28,98.05
city,Anchorage,driving,NA,Alaska,United States,2020-01-29,104.12
city,Anchorage,driving,NA,Alaska,United States,2020-01-30,106.16
city,Anchorage,driving,NA,Alaska,United States,2020-01-31,122.86
city,Anchorage,driving,NA,Alaska,United States,2020-02-01,115.03
city,Anchorage,driving,NA,Alaska,United States,2020-02-02,79.32
city,Anchorage,driving,NA,Alaska,United States,2020-02-03,102.84
city,Anchorage,driving,NA,Alaska,United States,2020-02-04,102.53
city,Anchorage,driving,NA,Alaska,United States,2020-02-05,109.66
city,Anchorage,driving,NA,Alaska,United States,2020-02-06,114.82
city,Anchorage,driving,NA,Alaska,United States,2020-02-07,131.74
city,Anchorage,driving,NA,Alaska,United States,2020-02-08,119.45
city,Anchorage,driving,NA,Alaska,United States,2020-02-09,90.37
city,Anchorage,driving,NA,Alaska,United States,2020-02-10,102.81
city,Anchorage,driving,NA,Alaska,United States,2020-02-11,108.26
city,Anchorage,driving,NA,Alaska,United States,2020-02-12,106.66
city,Anchorage,driving,NA,Alaska,United States,2020-02-13,120.72
city,Anchorage,driving,NA,Alaska,United States,2020-02-14,144.93
city,Anchorage,driving,NA,Alaska,United States,2020-02-15,124.58
city,Anchorage,driving,NA,Alaska,United States,2020-02-16,96.39
city,Anchorage,driving,NA,Alaska,United States,2020-02-17,105.7
city,Anchorage,driving,NA,Alaska,United States,2020-02-18,105.34
city,Anchorage,driving,NA,Alaska,United States,2020-02-19,110.4
city,Anchorage,driving,NA,Alaska,United States,2020-02-20,114.96
city,Anchorage,driving,NA,Alaska,United States,2020-02-21,133.04
city,Anchorage,driving,NA,Alaska,United States,2020-02-22,128.69
city,Anchorage,driving,NA,Alaska,United States,2020-02-23,92.23
city,Anchorage,driving,NA,Alaska,United States,2020-02-24,111.47
city,Anchorage,driving,NA,Alaska,United States,2020-02-25,113.36
city,Anchorage,driving,NA,Alaska,United States,2020-02-26,114.92
city,Anchorage,driving,NA,Alaska,United States,2020-02-27,120.72
city,Anchorage,driving,NA,Alaska,United States,2020-02-28,142
city,Anchorage,driving,NA,Alaska,United States,2020-02-29,133.59
city,Anchorage,driving,NA,Alaska,United States,2020-03-01,93.78
city,Anchorage,driving,NA,Alaska,United States,2020-03-02,112.97
city,Anchorage,driving,NA,Alaska,United States,2020-03-03,109.27
city,Anchorage,driving,NA,Alaska,United States,2020-03-04,113.55
city,Anchorage,driving,NA,Alaska,United States,2020-03-05,120.82
city,Anchorage,driving,NA,Alaska,United States,2020-03-06,141.4
city,Anchorage,driving,NA,Alaska,United States,2020-03-07,133.68
city,Anchorage,driving,NA,Alaska,United States,2020-03-08,96.2
city,Anchorage,driving,NA,Alaska,United States,2020-03-09,116.31
city,Anchorage,driving,NA,Alaska,United States,2020-03-10,115.36
city,Anchorage,driving,NA,Alaska,United States,2020-03-11,117.92
city,Anchorage,driving,NA,Alaska,United States,2020-03-12,116.49
city,Anchorage,driving,NA,Alaska,United States,2020-03-13,123.28
city,Anchorage,driving,NA,Alaska,United States,2020-03-14,107.72
city,Anchorage,driving,NA,Alaska,United States,2020-03-15,78.49
city,Anchorage,driving,NA,Alaska,United States,2020-03-16,90.77
city,Anchorage,driving,NA,Alaska,United States,2020-03-17,89.92
city,Anchorage,driving,NA,Alaska,United States,2020-03-18,80.92
city,Anchorage,driving,NA,Alaska,United States,2020-03-19,77.66
city,Anchorage,driving,NA,Alaska,United States,2020-03-20,86.23
city,Anchorage,driving,NA,Alaska,United States,2020-03-21,70.21
city,Anchorage,driving,NA,Alaska,United States,2020-03-22,61.61
city,Anchorage,driving,NA,Alaska,United States,2020-03-23,63.7
city,Anchorage,driving,NA,Alaska,United States,2020-03-24,64.81
city,Anchorage,driving,NA,Alaska,United States,2020-03-25,64.03
city,Anchorage,driving,NA,Alaska,United States,2020-03-26,66.73
city,Anchorage,driving,NA,Alaska,United States,2020-03-27,71.43
city,Anchorage,driving,NA,Alaska,United States,2020-03-28,62.05
