geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-13,100
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-14,101.06
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-15,104.03
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-16,97.01
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-17,118.28
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-18,116.32
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-19,80.57
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-20,94.51
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-21,99.66
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-22,101.47
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-23,104.29
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-24,119.89
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-25,115.52
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-26,77.72
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-27,96.01
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-28,103.17
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-29,103.8
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-30,106.1
city,Albuquerque,driving,NA,New Mexico,United States,2020-01-31,121.73
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-01,117.85
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-02,77.04
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-03,97.16
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-04,98.5
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-05,104.48
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-06,108.02
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-07,125.97
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-08,121.12
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-09,83.81
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-10,105.73
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-11,90.05
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-12,110.8
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-13,123.73
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-14,144.08
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-15,126.84
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-16,94.49
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-17,105.31
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-18,108.67
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-19,108.85
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-20,114.72
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-21,133.53
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-22,126.33
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-23,85.98
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-24,112.65
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-25,109.58
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-26,114.18
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-27,118.12
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-28,135
city,Albuquerque,driving,NA,New Mexico,United States,2020-02-29,143.68
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-01,93.07
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-02,107.47
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-03,115.03
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-04,112.75
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-05,118.74
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-06,137.36
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-07,132.8
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-08,87.89
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-09,111.34
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-10,121.72
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-11,120.34
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-12,115.46
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-13,115.42
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-14,105.16
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-15,73.31
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-16,90.14
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-17,82.66
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-18,79.14
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-19,73.26
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-20,80.06
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-21,66.52
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-22,51.19
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-23,63.13
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-24,55.03
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-25,56.43
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-26,53.86
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-27,60.69
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-28,52.93
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-29,43.05
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-30,54.76
city,Albuquerque,driving,NA,New Mexico,United States,2020-03-31,57.3
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-01,57.72
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-02,58.72
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-03,65.78
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-04,57.23
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-05,44.45
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-06,57.06
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-07,57.64
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-08,59.35
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-09,60.2
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-10,69.14
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-11,58.42
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-12,37.42
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-13,51.78
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-14,59.63
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-15,66
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-16,67.78
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-17,75.23
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-18,66.92
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-19,53.13
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-20,66.58
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-21,66.09
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-22,69.02
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-23,71.7
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-24,78.53
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-25,70.01
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-26,57.21
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-27,69.77
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-28,73.44
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-29,73.93
city,Albuquerque,driving,NA,New Mexico,United States,2020-04-30,76.91
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-01,90.4
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-02,80.03
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-03,63.08
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-04,77.37
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-05,81.24
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-06,80.79
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-07,83.39
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-08,93.47
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-09,87.01
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-10,64.11
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-11,NA
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-12,NA
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-13,88.12
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-14,92.4
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-15,109.16
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-16,101.71
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-17,80.7
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-18,98.16
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-19,100.5
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-20,103.52
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-21,107.3
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-22,119.87
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-23,103.85
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-24,84.86
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-25,80.2
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-26,105.39
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-27,107.04
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-28,110.86
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-29,122.54
city,Albuquerque,driving,NA,New Mexico,United States,2020-05-30,110.23
